partition,comparison,n,mean_roberta,mean_other,mean_diff,p_wilcoxon,p_ttest,sig
TS0 (TEST),RoBERTa vs ERNIE,1305,0.2046,0.5090,-0.3044,1.0000,1.0000,
TS0 (TEST),RoBERTa vs RNAFM,1305,0.2046,0.1594,0.0452,0.0000,0.0000,***
TS0 (TEST),RoBERTa vs RiNALMo,1305,0.2046,0.0623,0.1423,0.0000,0.0000,***
TS0 (TEST),RoBERTa vs One-hot,1305,0.2046,0.0385,0.1661,0.0000,0.0000,***
TS0 (TEST),RoBERTa vs RNABERT,1281,0.2050,0.0335,0.1715,0.0000,0.0000,***
NEW,RoBERTa vs ERNIE,5401,0.2037,0.4929,-0.2893,1.0000,1.0000,
NEW,RoBERTa vs RNAFM,5401,0.2037,0.1093,0.0943,0.0000,0.0000,***
NEW,RoBERTa vs RiNALMo,5401,0.2037,0.0591,0.1445,0.0000,0.0000,***
NEW,RoBERTa vs One-hot,5401,0.2037,0.0520,0.1517,0.0000,0.0000,***
NEW,RoBERTa vs RNABERT,5380,0.2040,0.0278,0.1762,0.0000,0.0000,***
